brand,model,screen_size,color,harddisk,cpu,ram(GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,currency_symbol,harddisk_new_GB
dell,XPS 9315 2-in-1,13.0,Platinum Silver,1000 GB,Core i7,16,Windows 11 Home,,Integrated,Intel Integrated Graphics,,,1561.99,$,1000.0
dell,Alienware X14 Laptop,14.0,Lunar Light,1000 GB,Core i7,12,Windows 11 Home,,Integrated,NVIDIA GeForce RTX 3060,,,2086.99,$,1000.0
dell,LATITUDE E6540,15.0,Silver,500 GB,Core i7,16,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,,Integrated,Integrated Graphics,,,268.98,$,500.0
lenovo,Lenovo IdeaPad 1,14.0,,128 MB,,4,Windows,"Anti-glare,Hd Audio",Integrated,Intel UHD Graphics 605,1.1 GHz,4.3,310.19,$,128.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
lenovo,Legion 5 Pro,16.0,,512 GB,AMD Ryzen 7 5800H,16,Windows 11 Home,,Dedicated,AMD Radeon RTX 3070,3.2 GHz,,1344.99,$,512.0
gigabyte,AORUS 17 XE4-73US514SH,17.0,Black,1 TB,Intel Mobile CPU,16,Windows 11 Home,,Dedicated,,,4.0,1119.99,$,1024.0
lenovo,ThinkPad P14s Gen 2,14.0,Black,512 GB,Ryzen 7,16,Windows 11 Pro,Anti-glare Screen,Radeon Graphics,,,,1638.95,$,512.0
apple,MacBook Pro,13.0,,512 GB,Apple M1,16,macOS 12 Monterey,,Integrated,,3 GHz,1.0,1657.99,$,512.0
dell,Latitude 9000,14.0,Graphite,512 GB,Core i7,16,Windows 10 Pro,"Corning Gorilla Glass 6, Anti-reflection, Anti-smudge",Iris Xe Graphics,,,,2150.88,$,512.0
dell,Latitude 3000,14.0,Apollo,256 GB,Intel Core i5-1135G7,8,Windows 10 Pro,,Iris Xe Graphics,Intel Iris Xe Graphics,,1.7,836.16,$,256.0
lenovo,,13.0,Silver,256 GB,,8,Windows 10,,Integrated,Intel HD Graphics 5300,,3.0,724.0,$,256.0
dell,Latitude 7410 Laptop,14.0,Black,256 GB,Core i7,16,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,5.0,749.99,$,256.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
dell,Latitude,15.0,Silver,512 GB,Core i5 Family,32,Windows 11 Pro,Backlit Keyboard,Integrated,,,,953.82,$,512.0
lenovo,Yoga C940-14IIL,14.0,Gray,512 GB,Core i7-1065G7,8,Windows 10,"Fingerprint Reader,Pen",Integrated,,,4.0,899.0,$,512.0
asus,ASUS Rog Strix,15.0,Electro Punk,512 GB,Corei7-10750H,8,Windows 10,Rgb Backlit Keyboard,Dedicated,,,5.0,979.0,$,512.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
hp,17-by4013dx,15.0,,256 GB,Athlon Silver 3050U,8,Windows 11 Home,,Integrated,AMD Radeon Graphics,,4.5,378.0,$,256.0
lenovo,Chromebook Flex 5,13.0,Graphite Grey,64 GB,Core i3-10110U,4,Chrome OS,"Anti-glare,Backlit Keyboard,Narrow Bezels",Integrated,,,5.0,399.0,$,64.0
dell,Latitude 5320 2-in-1,13.0,Black,512 GB,Core i7,16,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,3.4,1273.99,$,512.0
dell,Latitude 5430 Laptop,14.0,Black,1000 GB,Core i7,32,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,5.0,1227.99,$,1000.0
asus,ASUS Chromebook C423,14.0,Silver,32 GB,Celeron,4,Chrome OS,"Anti-glare,Ultra-narrow Bezel",,Intel HD Graphics 500,,4.2,199.0,$,32.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
asus,P1512CEA-XS51,15.0,,256 GB,Core i5 Family,8,Windows 11 Pro,,Integrated,,2.4,,619.71,$,256.0
lenovo,T450,14.0,,256 GB,Core i5 5300U,16,Windows 10 Home,Speakers,Integrated,Intel HD 5500,,5.0,139.98,$,256.0
dell,xps 15 7590,15.0,,512 GB,Core i7,16,Windows 10 Pro,"Anti-glare,Backlit Keyboard,Fingerprint Reader",NVIDIA GeForce GTX 1650 4GB,Dedicated,,3.5,979.0,$,512.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
hp,,15.0,,512 GB,,,,,,Intel Iris,,5.0,930.0,$,512.0
lenovo,ThinkPad T15g Gen 2,15.0,Black,1 TB,Core i9,32,Windows 10 Pro,,GeForce RTX 3080,NVIDIA GeForce RTX 3080,,4.5,4119.0,$,1024.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
dell,XPS 9320 Laptop,13.0,Silver,512 GB,Core i7,16,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1273.99,$,512.0
dell,Precision 3000,15.0,Titan Gray,512 GB,Core i7,16,Windows 10 Pro,Anti-glare Screen,T550,,,,1723.77,$,512.0
lenovo,Lenovo Thinkpad,14.0,,256 GB,Core i5,8,Windows 11,,Integrated,Intel HD Graphics 520,2.4 GHz,,653.99,$,256.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
hp,ZBook Firefly 16 G9,16.0,,512 GB,Core i7,32,Windows 11 Pro,Anti-glare Screen,"T500,Iris Xe Graphics",NVIDIA Intel T500 Iris Xe Graphics,,,1973.99,$,512.0
dell,Precision 7770,17.0,,512 GB,Core i7 Family,64,Windows 11 Pro,Anti-glare,Dedicated,NVIDIA RTX A4500 16GB GDDR6 (4DP),,,3915.99,$,512.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
panasonic,Panasonic Toughbook,13.0,silver/black,250 GB,Core i5,4,Windows 7,Water Proof,Integrated,,,2.7,299.95,$,250.0
dell,i3500-7722BLK-PUS,15.0,Black,512 GB,Corei7-10750H,16,Windows 10 Home,Anti-glare,NVIDIA GeForce RTX2060,,,4.3,1699.0,$,512.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
dell,Dell Inspiron 16 5625,16.0,Silver,1000 GB,AMD Ryzen 7,16,Windows 11 Home,,Integrated,AMD Radeon Graphics,,5.0,854.86,$,1000.0
msi,Summit E14Evo A12M-026,14.0,Ink Black,512 GB,Core i5,16,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,,941.05,$,512.0
microsoft,Laptop 4 13 i5/8GB/512GB ICE BLUE,13.0,Ice Blue,512 GB,Intel Core i5,8,Windows 10 Home,Dolby,Integrated,,,4.4,865.0,$,512.0
dell,Latitude 7000,14.0,,512 GB,Core i7,32,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,,,,2192.13,$,512.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
hp,HP EliteBook,14.0,,256 GB,Core i5,8,Windows 10 Pro,,Integrated,,2.4 GHz,,490.77,$,256.0
hp,Dragonfly Folio G3,13.0,,512 GB,Core i7,16,Windows 11 Pro,"Corning Gorilla Glass 7, Miracast Technology",Iris Xe Graphics,Intel Iris Xe Graphics,,,2333.99,$,512.0
asus,G614JV,16.0,Eclipse Gray,2 TB,Core i7,32,Windows 11 Pro,Backlit Keyboard,Dedicated,,,,1704.99,$,2048.0
asus,ASUS VivoBook,14.0,grey,128 GB,Core i3,4,Windows 10 Home,Active Stylus,Integrated,,,4.4,446.98,$,128.0
dell,Latitude 3000,14.0,Black,256 GB,Core i3,8,Windows 11 Pro,Anti-glare Screen,UHD Graphics,,,,784.97,$,256.0
dell,Precision 5570 Laptop,15.0,Black,512 GB,Core i9,64,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,2699.0,$,512.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
dell,Dell XPS,13.0,Silver/Carbon Fiber,128 GB,Core i5,8,Windows 10,Full Hd Anti-glare,Integrated,,,3.6,1099.95,$,128.0
lenovo,ThinkPad E14 Gen 4,14.0,,256 GB,Ryzen 5,16,Windows 11,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,,729.99,$,256.0
apple,,13.0,,256 GB,,16,Mac OS,,Dedicated,,,3.9,1499.0,$,256.0
dell,Latitude 7640 Laptop,16.0,Black,512 GB,Core i7,32,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1662.92,$,512.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
lenovo,Thinkpad,11.0,Black,128 GB,Celeron,4,Windows 10 Pro,Anti Glare Coating,Integrated,,,3.7,286.0,$,128.0
dell,Precision 3000,15.0,Titan Gray,256 GB,Core i5,16,Windows 10 Pro,Anti-glare Screen,GT2 Graphics,,,,1526.31,$,256.0
dell,XPS 9315 Laptop,13.0,Platinum Silver,512 GB,Core i5,16,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,909.99,$,512.0
microsoft,Surface Laptop,15.0,Matte Black,256 GB,Ryzen 5 2600X,8,Windows 10 Home,,Integrated,AMD Radeon Vega 9,,4.2,799.0,$,256.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
asus,Rog Strix Scar G533Z,15.0,Off Black,1 TB,Intel Core i9,16,Windows 10 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,,2249.99,$,1024.0
dell,Inspiron 7620 Laptop,16.0,Platinum Silver,1000 GB,Core i7,40,Windows 11 Home,,Integrated,Intel Integrated Graphics,,5.0,1498.0,$,1000.0
lenovo,82LX0050US,15.0,,128 GB,Intel Mobile CPU,4,Windows 11 S,"Bezels,Dolby,Stereo Speakers",Integrated,,3.3,,222.5,$,128.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
dell,Inspiron 3511,15.0,,512 GB,Core i5,16,Windows 10 Pro,,Integrated,Intel UHD Graphics,1 GHz,,681.61,$,512.0
dell,Precision 5000,15.0,Aluminum Titan Gray,512 GB,Core i7 Family,32,Windows 10 Pro,Anti-glare Screen,RTX A2000,,,4.0,1699.95,$,512.0
dell,Latitude,14.0,,512 GB,Core i7,16,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,2.8 GHz,,802.91,$,512.0
apple,,16.0,,1 TB,Apple M2,32,Mac OS,Backlit Keyboard,Integrated,,3.5 GHz,,3043.95,$,1024.0
dell,Alienware X17 R2 Laptop,17.0,Lunar Light,2000 GB,Core i9,64,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3080,,5.0,3208.03,$,2000.0
dell,G15,15.0,,256 GB,Core i5,8,Windows 11 Home,,RTX 3050,,2.6 GHz,,760.99,$,256.0
asus,ASUS VivoBook,11.0,,32 GB,Celeron N,2,Windows 10,,Integrated,,1.1 GHz,4.2,199.99,$,32.0
hp,,15.0,Black,1000 GB,Ryzen 5,32,Windows 11,Backlit Keyboard,Integrated,AMD,,5.0,849.99,$,1000.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
lenovo,Lenovo IdeaPad,15.0,Black,1 TB,Pentium Other,20,Windows 11,Anti-glare,Integrated,,,4.2,419.0,$,1024.0
acer,Swift Go 14,14.0,,512 GB,Intel Core i5,8,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,Intel Iris Xe Graphics,,4.3,799.99,$,512.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
acer,Chromebook 311,11.0,Black,32 GB,MediaTek MT8183,4,Chrome OS,,Integrated,Intel Integrated Graphics,,4.4,219.0,$,32.0
gigabyte,U4 UD-50US823SO,14.0,Silver,512 GB,Intel Mobile CPU,16,Windows 11 Home,Thin Bezel,Integrated,,,3.3,700.43,$,512.0
hp,Laptop,15.0,,2 TB,Core i3,32,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,1 GHz,,298.7,$,2048.0
hp,,15.0,,500 GB,Core i5 6200U,8,Windows 10 Pro,Anti-glare,Integrated,Intel HD Graphics 520,2.3 GHz,3.3,799.81,$,500.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
asus,Vivobook,11.0,,32 GB,Celeron N,4,Windows 10 S,,Integrated,Intel UHD Graphics 605,1.1 GHz,4.0,169.0,$,32.0
dell,Latitude,15.0,Silver,1 TB,Core i7 Family,32,Windows 11 Pro,Backlit Kb,Integrated,,,4.3,949.0,$,1024.0
dell,Latitude 7000,14.0,,256 GB,Core i7,16,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,1875.98,$,256.0
lenovo,ThinkPad X1 Extreme Gen 5,16.0,,512 GB,Core i7,16,Windows 11 Pro,Anti-glare Screen,GeForce RTX 3050 Ti,NVIDIA GeForce RTX 3050 Ti,,,2352.59,$,512.0
dell,,13.0,,512 GB,,8,Windows 11 Home,Backlit Keyboard,Integrated,,,1.0,749.0,$,512.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
dell,XPS 9520 Laptop,15.0,Platinum Silver,512 GB,Core i7,16,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3050,,,1566.99,$,512.0
dell,XPS 9320 Laptop,13.0,Black,2000 GB,Core i7,32,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1820.99,$,2000.0
dell,Dell 5000,14.0,Platinum Silver,512 GB,Core i7 Family,16,Windows 11 Pro,Fingerprint,Dedicated,,,,1077.24,$,512.0
lenovo,ThinkPad P16s G1,16.0,Black,512 GB,Core i7,16,Windows 11 Pro,Anti-glare Screen,QN20-M1-R,,,,1851.99,$,512.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
samsung,Chromebook 4,11.0,Silver,64 GB,Celeron N3450,4,Chrome OS,,Integrated,Intel UHD Graphics 600,,4.9,249.49,$,64.0
dell,XPS 9530 Laptop,15.0,Platinum Silver,2000 GB,Core i7,32,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4050,,,2409.99,$,2000.0
lenovo,Chromebook Flex 3,11.0,Almond,64 GB,Celeron N4020,4,Chrome OS,,Integrated,Intel UHD Graphics 600,,4.3,229.0,$,64.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
dell,Precision 5000,14.0,,512 GB,Core i7,16,Windows 10 Pro,Anti-glare Screen,RTX A1000,NVIDIA RTX A1000,,,2472.99,$,512.0
lg,GRAM 16 2-in-1,16.0,Silver,4 TB,Core i7 Family,16,Windows 11 Pro,"HD Audio, Backlit Keyboard, Memory Card Slot, Numeric Keypad",Integrated,,,,1919.0,$,4096.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
dell,Dell 5000,16.0,Platinum Silver,4 TB,Ryzen 7,64,Windows 11 Pro,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",Integrated,,,,1317.06,$,4096.0
acer,PH315-55,15.0,Abyss Black,2 TB,Core i7 Family,32,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3060,,,2129.99,$,2048.0
dell,Precision 3000,15.0,,512 GB,Core i7,16,Windows 11 Pro,Anti-glare Screen,Dedicated,,5 GHz,,1514.09,$,512.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
lg,LG gram,15.0,Silver,256 GB,Core i5 2.3 GHz,8,Windows 10 Home,,Integrated,Intel Iris Plus,,4.0,999.99,$,256.0
dell,XPS,17.0,Platinum Silver,1 TB,Core I7 11800H,16,Windows 10,"Backlit Keyboard,Fingerprint Reader",Dedicated,,,3.8,2179.05,$,1024.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
lenovo,ThinkPad P14s Gen 3,14.0,Black,512 GB,Core i7,16,Windows 11 Pro,Anti-glare Screen,T550,,,,2426.99,$,512.0
microsoft,Surface Laptop,13.0,Black,512 GB,Core i5,16,Windows 11 Home,Dolby,Integrated,,,,1499.99,$,512.0
dell,Latitude,15.0,,2 TB,Core i5,16,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,,5.0,1436.81,$,2048.0
hp,HP 14 laptop,14.0,Silver,128 GB,Core i3,4,Windows 10 Home,Anti-glare,Integrated,,,3.7,328.58,$,128.0
dell,Latitude 5420,15.0,,256 GB,Core i5,8,Windows 10 Pro,Anti Glare,Integrated,Integrated,,4.2,1443.6,$,256.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
acer,C771-C4TM,11.0,Black,32 GB,Celeron,1,Chrome OS,Spill Resistant,Integrated,,,4.2,295.4,$,32.0
dell,Dell Latitude,13.0,,256 GB,Core i5,8,Windows 10 Pro,,Integrated,Intel Iris,,5.0,729.0,$,256.0
hp,PRO X2 612G1+KEYBOARD,12.0,Silver,256 GB,Core i5,8,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,,,209.98,$,256.0
dell,Latitude 7420 Laptop,14.0,Black,512 GB,Core i7,32,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,1652.99,$,512.0
lenovo,ThinkPad T15p Gen 3,15.0,Black,256 GB,Core i7,8,Windows 11,Anti-glare Screen,GeForce RTX 3050,,,,1920.57,$,256.0
dell,Latitude 7420,14.0,,256 GB,Core i5,16,Windows 10 Pro,Anti Glare,Integrated,Intel Iris Xe Graphics,,5.0,544.0,$,256.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
dell,Dell 5000,16.0,Platinum Silver,512 GB,Ryzen 7,16,Windows 11,"Fingerprint Reader, HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",Integrated,,,,854.86,$,512.0
lenovo,ThinkPad T16 Gen 1,16.0,,256 GB,Ryzen 5,16,Windows 11 Pro,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,,1007.0,$,256.0
lenovo,Lenovo ThinkPad X1 Carbon Gen 11,14.0,Black,512 GB,Core i7 Family,32,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,,1644.31,$,512.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
lenovo,Lenovo ThinkPad T14 Gen 3 AMD,14.0,,2 TB,AMD Ryzen 7,16,Windows 11 Pro,"Anti-glare,Backlit Kyb,Fingerprint Reader",Integrated,AMD Radeon 680M,,5.0,1131.06,$,2048.0
hp,ELITEBOOK 820G3,12.0,,512 GB,Core i5,16,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,2.4 GHz,4.0,307.98,$,512.0
msi,Modern 14 B11MO-857,14.0,Beige Mousse,512 GB,Core i5,8,Win 10 Multi-language /Free upgrade to Win 11,"Multi Touch, Intel 9560 Jefferson Peak (2x2 802.11 ac), White backlight 84 Key",Integrated,,,2.0,699.0,$,512.0
dell,E6540,15.0,,500 GB,Core i7,8,Windows 7 Professional,HD Audio,Dedicated,AMD Radeon HD 8790M,,3.7,529.95,$,500.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
dell,Dell Inspiron 16 5625,16.0,Silver,1000 GB,AMD Ryzen 7,16,Windows 11 Pro,,Integrated,AMD Radeon Graphics,,,854.86,$,1000.0
lg,17Z90R-N.APC5U1,17.0,Obsidian Black,512 GB,Core i7,8,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,,1469.99,$,512.0
hp,Spectre x360,15.0,,512 GB,Core i7,16,Windows 11 Home,"Fingerprint,Pen",Integrated,Intel Iris Xe Graphics,,,2299.0,$,512.0
msi,Raider GE76 12UE,17.0,Titanium Blue-Black-Dark Blue-Black,4 TB,Intel Core i9,64,Windows 11 Pro,"HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Dedicated,,,,2569.0,$,4096.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
dell,Latitude 7000,14.0,Carbon Fiber,256 GB,Core i7,16,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,,1652.68,$,256.0
asus,VivoBook,15.0,Gray,512 GB,Core i3 Family,12,Windows 11 Home,,Integrated,Intel UHD Graphics,,3.8,479.0,$,512.0
